run_dir,experiment_name,family,dataset,n_samples,k,generation_seed,seed_dataset,fc_enabled,fc_lower_percentile,fc_upper_percentile,question_id,question,gold_answer,majority_answer,eigenscore,correctness_score,is_correct,unique_generations,clip_fraction
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,bb_172,What would a person normally do with perique?,,Use it as a flavor component in cigar blends.,3.141037568358945,,False,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,bb_2852,"Barra island, Outer Hebrides, has at 2012 the world's only official beach-based what?",,Puffin colony.,3.939982896734257,,False,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,bb_4027,Babel Fish is an icon/metaphor/brand for instantaneous what?,,Language translation.,-0.4205496101005072,,True,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,bb_879,What type of creature is a Meadow Brown?,,A Meadow Brown is a type of butterfly.,-2.616575871521124,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,bt_2137,In which county is Wentworth golf course,,"Wentworth Golf Club is located in Surrey, England.",2.858261083567863,,True,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,bt_3368,During a penalty shoot out in soccer where should the non participating players be,,"The non-participating players should be behind the penalty spot, but not closer to the goal than the ball.",3.520264267496858,,False,5,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_1365,What was the name of the skunk in Bambi?,,Friend Owl.,-0.14341387431973943,,False,3,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_2073,"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?",,Orion.,-4.248885385967724,,True,1,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_21,Whose gang travel around in the Mystery Machine?,,The Scooby-Doo gang.,-2.121326757366691,,True,2,
baseline_qa820_n100_k5_ds42_gs42,baseline_qa820_n100_k5_ds42_gs42,baseline,qa820,100.0,5,42,42,False,,,dpql_2188,"A swanee whistle was used to provide the voices of whom, in an animated tv series?",,Looney Tunes characters.,1.3254605751709463,,False,4,
